Year,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,Tot_Prscrbrs,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Tot_Benes,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Benes,LIS_Bene_Cst_Shr,NonLIS_Bene_Cst_Shr
2014,9B,Armed Forces Europe,49.0,477.0,477.3,19814.010000000002,304.0,243.0,243.0,5724.45,180.0,246.78,2177.56
2014,9C,Armed Forces Pacific,30.0,136.0,136.2,2041.78,124.0,69.0,69.0,1047.12,64.0,32.400000000000006,293.46
2014,9E,Foreign Country,111.0,945.0,949.1,54994.2,534.0,375.0,379.1,21270.84,231.0,867.26,2775.25
2015,01,Alabama,13072.0,377380.0,379555.5,39392233.11,90097.0,161661.0,162891.1,14646549.969999999,48263.0,525328.44,3653630.56
2015,02,Alaska,2895.0,30344.0,30772.100000000002,3042618.4499999997,7603.0,13852.0,14123.0,1057408.59,4164.0,33383.96000000001,175704.94999999998
2015,04,Arizona,29578.0,627146.0,634433.6,50944895.43,165709.0,348622.0,353887.4,23874258.52,113189.0,514425.61,6606810.0600000005
2015,05,Arkansas,7527.0,196620.0,197816.2,16898149.63,49824.0,82041.0,82689.79999999999,5774832.49,26618.0,267039.06999999995,1901562.4800000002
2015,06,California,85043.0,1089963.0,1102360.7,150335757.73999998,284543.0,636188.0,644749.7,69846778.07000001,195135.0,838296.31,11544479.120000001
2015,08,Colorado,25467.0,405712.0,410281.9,33281462.209999997,105060.0,226396.0,229491.0,14909452.159999998,70369.0,336061.2,3712569.2399999998
2015,09,Connecticut,19249.0,286494.0,289389.5,30978373.76,78972.0,156117.0,158141.4,12672463.06,52958.0,269382.51999999996,1882124.0599999998
2015,10,Delaware,4574.0,99397.0,99802.9,9327027.090000002,25376.0,49100.0,49393.3,3658513.39,15993.0,110709.88,867513.1100000001
2015,11,District of Columbia,5081.0,37428.0,37808.00000000001,2737491.18,15046.0,18461.0,18676.100000000002,1208169.4200000002,8429.0,30259.020000000004,133333.19
2015,12,Florida,55169.0,1537665.0,1551450.5000000002,131504797.03,419700.0,834276.0,843128.2999999999,55068848.32000001,282873.0,1675787.74,15884608.76
2015,13,Georgia,24541.0,639443.0,642834.4,51868453.669999994,165027.0,312613.0,314711.6,21941109.17,99930.0,779918.4299999999,6126317.980000001
2015,15,Hawaii,3790.0,46814.0,47229.6,4136244.1000000006,14730.0,29167.0,29425.4,2120636.66,10828.0,31135.989999999998,337456.81
2015,16,Idaho,5539.0,81044.0,81973.0,8098306.02,20700.0,39360.0,39924.0,3177380.78,12470.0,76188.29,808806.3400000001
2015,17,Illinois,20356.0,206983.0,207337.90000000002,28076475.439999998,56333.0,94884.0,95056.4,10009813.350000001,31800.0,197285.01,2449195.5300000003
2015,18,Indiana,18747.0,379831.0,382880.79999999993,40118730.43,83162.0,167651.0,169580.40000000002,13521917.75,45915.0,447540.52,3978189.46
2015,19,Iowa,9809.0,113483.0,114560.5,10394023.729999999,32084.0,64605.0,65401.299999999996,4326314.779999999,21314.0,87594.48000000001,1094853.39
2015,20,Kansas,11104.0,184782.0,186303.8,19439848.5,44422.0,87364.0,88290.7,6719786.28,26296.0,186793.03,2068124.3400000003
2015,21,Kentucky,12927.0,370249.0,372117.19999999995,33243784.849999998,85746.0,174449.0,175634.0,13752022.250000002,46920.0,493793.30999999994,3893060.75
2015,22,Louisiana,12313.0,291223.0,292376.69999999995,25199498.65,72928.0,132208.0,132826.0,9264870.32,41945.0,342031.02999999997,3104576.08
2015,23,Maine,7274.0,132182.0,133529.1,12585546.92,30027.0,57163.0,58031.2,4427930.529999999,17153.0,103882.44,756099.2
2015,24,Maryland,26782.0,451895.0,457171.5,36944214.54,115339.0,222111.0,225835.59999999998,15212329.280000001,71218.0,465204.8,3631013.34
2015,25,Massachusetts,41353.0,606224.0,606821.7,44080454.620000005,160454.0,292407.0,292785.1,16773981.99,95180.0,467479.07999999996,2756047.65
2015,26,Michigan,29874.0,448831.0,454661.4,58272005.440000005,107157.0,196426.0,199832.19999999998,20463701.9,59184.0,463867.06999999995,4228986.889999999
